standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide
CC(=O)N1CCN(C(=O)CN2C(=O)CSC(c3cccc(C)c3)c3c(-c4ccccc4)nn(-c4cccc(C)c4)c32)CC1,2.2309285700468235,HIT100050921,CC(=O)N1CCN(C(=O)CN2C(=O)CSC(c3cccc(C)c3)c3c(-c4ccccc4)nn(-c4cccc(C)c4)c32)CC1,-8.9,ligprep_chemdiv-stock1_04_414266_split-10_3.sdf:20515,CC(=O)N1CCN(C(=O)CN2C(=O)CS[C@@H](c3cccc(C)c3)c3c(-c4ccccc4)nn(-c4cccc(C)c4)c32)CC1,-6.32681
FC(F)Oc1ccccc1C1C=C(c2ccc(Cl)cc2)Nc2nc3ccccc3n21,0.4732856699006772,HIT100247478,FC(F)Oc1ccccc1C1C=C(c2ccc(Cl)cc2)Nc2nc3ccccc3n21,-8.9,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:24629,FC(F)Oc1ccccc1[C@@H]1C=C(c2ccc(Cl)cc2)Nc2nc3ccccc3n21,-6.58648
Cc1cccc(-c2nc3ccccc3c3nnc(SC(C)C(=O)N4CCC5(CC4)OCCO5)n23)c1,1.472690933146337,HIT100611308,Cc1cccc(-c2nc3ccccc3c3nnc(SC(C)C(=O)N4CCC5(CC4)OCCO5)n23)c1,-8.9,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:13427,Cc1cccc(-c2nc3ccccc3c3nnc(S[C@H](C)C(=O)N4CCC5(CC4)OCCO5)n23)c1,-6.55589
O=C(Nc1ccccc1Cl)c1cccc(Nc2nc(-c3ccccc3)c3cc(Br)ccc3n2)c1,0.9297068605052822,HIT100985798,O=C(Nc1ccccc1Cl)c1cccc(Nc2nc(-c3ccccc3)c3cc(Br)ccc3n2)c1,-8.9,ligprep_chemdiv-stock1_01_400000_split-10_1.sdf:2899,O=C(Nc1ccccc1Cl)c1cccc(Nc2nc(-c3ccccc3)c3cc(Br)ccc3n2)c1,-5.93787
Cc1ccc(NC(=O)CSc2nc3c(oc4ccccc43)c(=O)n2-c2ccccc2C)cc1C,0.41741951214293516,HIT100995616,Cc1ccc(NC(=O)CSc2nc3c(oc4ccccc43)c(=O)n2-c2ccccc2C)cc1C,-8.9,ligprep_chemdiv-stock1_01_400000_split-10_9.sdf:6342,Cc1ccc(NC(=O)CSc2nc3c(oc4ccccc43)c(=O)n2-c2ccccc2C)cc1C,-5.94115
Cc1nn(-c2ccc3nnc(C)n3n2)c2c1C(c1cccc(OCc3ccccc3Cl)c1)CC(=O)N2,2.1821558691400162,HIT101288033,Cc1nn(-c2ccc3nnc(C)n3n2)c2c1C(c1cccc(OCc3ccccc3Cl)c1)CC(=O)N2,-8.9,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:12867,Cc1nn(-c2ccc3nnc(C)n3n2)c2c1[C@@H](c1cccc(OCc3ccccc3Cl)c1)CC(=O)N2,-5.89186
Cc1cccc(C(=O)N2CCCN(c3nc4ccccc4c4nnc(-c5ccccc5)n34)CC2)c1,1.552234752772365,HIT101425643,Cc1cccc(C(=O)N2CCCN(c3nc4ccccc4c4nnc(-c5ccccc5)n34)CC2)c1,-8.9,ligprep_chemdiv-stock1_04_414266_split-10_2.sdf:32586,Cc1cccc(C(=O)N2CCCN(c3nc4ccccc4c4nnc(-c5ccccc5)n34)CC2)c1,-6.1293
Cc1cccc(N2CCN(c3ncnc4c3c(-c3ccccc3)cn4-c3cccc(C)c3)CC2C)c1,1.556138521308435,HIT102168954,Cc1cccc(N2CCN(c3ncnc4c3c(-c3ccccc3)cn4-c3cccc(C)c3)CC2C)c1,-8.9,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:38993,Cc1cccc(N2CCN(c3ncnc4c3c(-c3ccccc3)cn4-c3cccc(C)c3)C[C@H]2C)c1,-6.30127
O=C(Cn1c(=O)n(Cc2ccc3c(c2)OCO3)c(=O)c2oc3ccccc3c21)Nc1ccc(F)cc1F,0.7677055437418,HIT103120348,O=C(Cn1c(=O)n(Cc2ccc3c(c2)OCO3)c(=O)c2oc3ccccc3c21)Nc1ccc(F)cc1F,-8.9,ligprep_chemdiv-stock1_02_400000_split-10_2.sdf:34749,O=C(Cn1c(=O)n(Cc2ccc3c(c2)OCO3)c(=O)c2oc3ccccc3c21)Nc1ccc(F)cc1F,-6.16354
Cc1ccc(N2CC(C(=O)Nc3ccccc3-c3nc(-c4cccc(C)c4)no3)CC2=O)cc1,1.462854577730895,HIT103140470,Cc1ccc(N2CC(C(=O)Nc3ccccc3-c3nc(-c4cccc(C)c4)no3)CC2=O)cc1,-8.9,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:6381,Cc1ccc(N2C[C@@H](C(=O)Nc3ccccc3-c3nc(-c4cccc(C)c4)no3)CC2=O)cc1,-5.85753
O=C(CC1C(=O)Nc2nc(N3CCc4ccccc4C3)[nH]c(=O)c21)Nc1ccc2c(c1)OCCO2,2.1152473085399994,HIT103151274,O=C(CC1C(=O)Nc2nc(N3CCc4ccccc4C3)[nH]c(=O)c21)Nc1ccc2c(c1)OCCO2,-8.9,ligprep_chemdiv-stock1_01_400000_split-10_6.sdf:16277,O=C(C[C@H]1C(=O)Nc2nc(N3CCc4ccccc4C3)[nH]c(=O)c21)Nc1ccc2c(c1)OCCO2,-6.69758
Clc1ccc(C2=CC(c3cccc4ccccc34)n3c(nc4ccccc43)N2)cc1,0.4194019289416776,HIT103398205,Clc1ccc(C2=CC(c3cccc4ccccc34)n3c(nc4ccccc43)N2)cc1,-8.9,ligprep_chemdiv-stock1_04_414266_split-10_8.sdf:19138,Clc1ccc(C2=C[C@@H](c3cccc4ccccc34)n3c(nc4ccccc43)N2)cc1,-7.03205
O=C1C2N=NN(CC(=O)N3N=C(c4ccc(Br)cc4)CC3c3ccccc3)C2C(=O)N1c1c(Cl)cccc1Cl,1.9698620088336538,HIT103474603,O=C1C2N=NN(CC(=O)N3N=C(c4ccc(Br)cc4)CC3c3ccccc3)C2C(=O)N1c1c(Cl)cccc1Cl,-8.9,ligprep_chemdiv-stock1_04_414266_split-10_7.sdf:13757,O=C1[C@@H]2[C@@H](N=NN2CC(=O)N2N=C(c3ccc(Br)cc3)C[C@@H]2c2ccccc2)C(=O)N1c1c(Cl)cccc1Cl,-6.75713
Cc1ccc(-n2ncc3c(=O)n(-c4ccc5c(c4)OCCO5)c(-c4ccccc4F)nc32)cc1,1.9876354898693662,HIT103885142,Cc1ccc(-n2ncc3c(=O)n(-c4ccc5c(c4)OCCO5)c(-c4ccccc4F)nc32)cc1,-8.9,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:4445,Cc1ccc(-n2ncc3c(=O)n(-c4ccc5c(c4)OCCO5)c(-c4ccccc4F)nc32)cc1,-6.91279
